Protein Sign Pvalue
FAM136A -1 0.00922681618911516
YARS -1 0.00609269313863491
EIF2A -1 2.1648053613937e-06
GBP1 -1 9.56209888020887e-05
S100A8 -1 0.000197271526034769
GLT25D1 -1 0.00448622827483789
SRRM2 -1 0.150503750598883
ATP6V1D -1 0.194310116969148
ATP1A1 -1 0.32024191634996
PTBP3 -1 0.198317943694458
NAMPT -1 0.0233071595085763
BID -1 0.0243040836885102
CHD4 -1 0.488406948915383
CDK1 -1 0.0557455974023291
HMOX1 -1 0.0516577358350616
IL4I1 -1 0.000345665663281186
CHMP4B -1 0.0594942427015115
TARS -1 0.143726685648306
CYBB -1 0.0430565961657892
DSP -1 0.677174895426409
NSUN2 -1 0.00699946949179496
CXorf26 -1 0.461455973246913
CAST -1 0.041690184857316
UBE2L6 -1 0.0342154234975902
S100A9 -1 3.46673845137604e-05
NASP -1 1.48187603003657e-07
C17orf61 -1 0.99481192642644
SSR3 -1 0.100819635152773
ADSL -1 0.0056553772458916
ISG15 -1 0.0264085106465361
HDLBP -1 0.0800505785993698
TXNRD1 -1 0.229563375604925
PFDN1 -1 0.0289313191422513
PYCR1 -1 0.00776544883616249
COPB1 -1 0.125212761620925
CROCC -1 0.0365607036535613
CSTF2 -1 0.141269095462656
TNC -1 0.448257905282341
VDAC3 -1 0.600330224529791
PGM3 -1 0.00458445411350993
CAPRIN1 -1 0.00653130190996989
MX1 -1 0.00867120248966725
C8orf55 -1 0.0736941972219062
GARS -1 0.00108955714263623
UBE2G1 -1 0.0365190883558497
NAPRT1 -1 0.86065422405936
ACLY -1 0.458429850032997
SDHA -1 0.915746837621619
APOC3 -1 0.245765469060725
TGM2 -1 0.338602125783991
PSMC5 -1 0.167348527830131
SLC25A6 -1 0.0148990701430057
FCER1G -1 0.0184193058637365
EXOSC3 -1 0.000579764143735655
MTCH2 -1 0.00510729892531385
UBA5 -1 0.00831272527745723
HTRA2 -1 3.93414758666026e-06
CYC1 -1 0.0742189281894755
CSDA -1 0.0053642902849561
NUDC -1 0.441802198183798
GLIPR2 -1 0.0126993240437592
NDUFS7 -1 0.975482135823117
DDB1 -1 0.9931666399779
CRABP1 -1 0.307048284956535
SF3A1 -1 0.0061407890559832
C11orf54 -1 0.240261243026759
EHD4 -1 0.00082249633375821
EIF3D -1 0.141401921988603
PRRC1 -1 0.851842636003441
CYCS -1 0.0271034039667969
EIF4G1 -1 0.0426038255022039
SLC25A3 -1 0.508799014492545
SFXN1 -1 0.0702303782522271
FARSB -1 0.190429571934191
NUDT5 -1 0.00526139952552494
EEF1E1 -1 0.482491960185781
KIAA1328 -1 0.00178524648662768
DPP3 -1 0.308435020714504
TFG 1 0.98946219635216
SAP18 -1 0.167761790658314
PSMD14 -1 0.0916352055614289
STIP1 -1 0.141933813864399
SEPHS1 -1 0.0469715369763448
HCFC1 -1 0.311553103378459
PFKP -1 0.183684778351821
LRRFIP1 -1 0.00727891939230009
LSM12 -1 0.0184090342069138
PPP1R14B -1 0.0268968611390994
CALML5 -1 0.369604556114169
TIMM9 -1 0.084684663378459
SAFB -1 0.210836545309078
SAA4 -1 0.125193057197206
MTDH -1 0.000752729207364481
GNAS -1 0.401658145447426
GUK1 -1 0.0399486671694548
COPB2 1 0.121733961752327
SPCS2 -1 0.128248194319947
SBDS 1 0.68643170522795
NPM3 -1 0.403397309616554
PDIA4 -1 0.0570533244004493
PACAP -1 0.0212089768981046
TRAPPC3 -1 0.0150435792935084
ALDH18A1 -1 0.068624699219947
PRKDC -1 0.00277351685668585
CARHSP1 -1 0.0337920877002412
PPP2R4 -1 0.215811912045262
CNN2 -1 0.444584360312881
GNS -1 0.620534718320751
DYNC1I2 -1 0.575450240613774
CSE1L -1 0.0101083703964212
SNX2 -1 0.546006530147886
NDRG1 -1 0.00256752885667112
ERP44 -1 0.000713449342961212
RAB18 -1 0.214527191142321
FAM49B -1 0.0716689296396106
HDAC2 -1 0.0817324624492382
EIF3F -1 0.562349458153559
ENOPH1 -1 0.0377787415265306
G3BP2 -1 0.481878826812469
RPS15 -1 0.058849413008378
FABP5 -1 0.328870904147569
UBA2 -1 0.282446430957539
CORO1C -1 0.180673564513807
DDX1 -1 0.00267642962648979
CHCHD3 1 0.963302249202255
GMFB -1 0.0242359250498001
NDRG2 1 0.623293379976562
ENAH -1 0.134300093851503
CBR3 -1 0.00329225038159747
IGHM -1 0.0506717122986936
SSB -1 0.166294897745933
ELANE -1 0.22274586720653
ANXA3 -1 0.243051232200625
SGSH -1 0.690298008246751
CTBP1 -1 0.665949349527738
UGP2 -1 0.00548178261481041
CCT7 -1 0.000520392271934236
PFDN2 -1 0.00568691839170119
MRPL11 -1 0.00535164766283103
LEMD2 1 0.290220501029292
RASAL2 -1 0.0432897879173137
EIF3C -1 0.772974456708705
STOML2 -1 0.000637895364587239
CYFIP1 -1 0.0341964672646785
VPS35 -1 0.0621965504829029
PYGM 1 0.514237609824558
CA2 1 0.389265026666359
VDAC1 -1 0.483239364092999
CPT1A 1 0.270476824259295
NHP2L1 -1 0.273594644368791
RAB25 -1 0.343981658405268
SF3B2 -1 0.376578776524681
HIST3H2BB -1 0.262947877832186
TBCB 1 0.843911958744945
DIABLO -1 0.689622017001272
FAM120A 1 0.530668014496262
NQO1 1 0.97956206247883
NDUFA10 1 0.725728080331731
TMED4 -1 0.991044448919654
RCC1 -1 0.00771508871488755
NACA -1 0.167763342551748
NPEPPS -1 0.832750446572984
COL18A1 1 0.839864142137757
PARVA -1 0.506520743015218
TMPO -1 0.213707320848719
SRSF10 1 0.150038176354105
GSTM1 1 0.0351249769725187
ATP6V1B2 -1 0.0325272369384898
PSMC2 -1 0.0930142487958009
COPA -1 0.986859982504811
RAC1 -1 0.725681088480012
HIST2H3PS2 -1 0.608841407234766
HSD17B8 1 0.00951564104246887
H2AFY2 -1 0.750636905626238
RUVBL1 -1 0.086713333812795
RAC2 -1 0.012199169860507
DDAH1 1 0.0234193815114181
HADH -1 0.694246963872711
EPB41L2 -1 0.508967747315952
TRMT112 -1 0.237564471790148
MECP2 -1 0.0586192262314957
CNPY2 -1 0.439337877676817
NDUFB2 1 0.996532329366712
PRMT5 -1 0.0330748593877203
MPO -1 0.0190039896281209
FH -1 0.271687486056193
PIP 1 0.0106831138425093
DARS -1 0.0310805465988381
ARSA 1 0.294031946404018
PDLIM4 1 0.890808366268826
FMOD 1 0.0768859394533701
CKAP4 -1 0.973496876187417
SF3B3 -1 0.0262923419570507
HLA-DRB1 -1 0.343557409931116
VWA1 -1 0.0717650992464131
HEATR2 1 0.764591682706511
CYB5R1 1 0.571261899497811
AK3 -1 0.503404365191149
NCAPG2 1 0.0526940758267508
MAN2B1 -1 0.031522070599956
SHMT2 -1 0.00104062929337038
FGG -1 0.754424360286026
HMGN1 1 0.273630381711186
ADH1B 1 0.0733559704906751
ARPC1B -1 0.127671986973736
CALU -1 0.11249411876609
RAB3D -1 0.948170345090551
EML2 1 0.097927551779243
CKB 1 0.163519951613323
ITGA2 -1 0.490259685528884
GPX4 -1 0.708613843340541
HADHA -1 0.0580464526245943
EIF2S3 -1 0.0226110359416198
IQGAP1 -1 0.126250418869836
ST13 -1 0.00399710650065929
