Protein Sign Pvalue
A1BG 1 0.069602826047464
A2M 1 0.89314036940639
A2ML1 -1 0.00863279539426122
AAAS 1 0.448817529314882
AACS 1 0.606355004184855
AAGAB 1 0.00816984429612979
AAK1 1 0.951128723091431
AAMDC -1 0.277160859668242
AAMP 1 0.0487641752239716
AAR2 1 0.0587673441460527
AARS -1 0.262539268569789
AARS2 -1 0.360002632709143
AARSD1 1 0.0746572587564209
AASDHPPT 1 0.157415315043277
AASS 1 0.0455621392570807
AATF -1 0.93272163354251
ABAT 1 0.000174945473648053
ABCA1 -1 0.420185297454014
ABCA2 -1 0.182307706603115
ABCA3 1 0.483135951437894
ABCB10 -1 0.0392011827634905
ABCB6 -1 0.766756956911695
ABCB7 1 0.390563057867441
ABCB8 -1 0.281948434488014
ABCC1 -1 0.55728850589722
ABCC11 -1 0.0323358318452006
ABCC3 -1 0.581590651088623
ABCD1 -1 0.214273449573382
ABCD3 1 0.146622568419029
ABCE1 -1 0.677619258460775
ABCF1 -1 0.259084608227191
ABCF2 -1 0.50118526666649
ABCF3 1 0.677063182713432
ABHD10 1 0.207126421975345
ABHD11 1 0.706263550923318
ABHD12 -1 0.530755006300467
ABHD14B 1 0.00797918155431868
ABHD16A -1 0.925960028483609
ABHD4 1 0.119940196456033
ABHD5 1 0.377272045915616
ABHD6 1 0.997177173997608
ABI1 -1 0.0589198912724211
ABI2 -1 0.16317804986856
ABI3 -1 0.765259710753815
ABI3BP 1 0.0342561929938878
ABL1 1 0.666119556642643
ABL2 -1 0.833986276672823
ABLIM1 -1 0.119383178388918
ABLIM2 -1 0.0289074732527335
ABLIM3 -1 0.758198736609435
ABR 1 0.31823073169045
ABRACL -1 0.247435248280613
ABRAXAS1 -1 0.21755528800571
ABRAXAS2 -1 0.84036093307509
ABT1 -1 0.103630244759883
ABTB2 -1 0.280217414107776
ACAA1 1 0.0653237477913528
ACAA2 -1 0.0998614601137148
ACACA 1 0.087097395623211
ACACB 1 0.0156955496542908
ACAD10 -1 0.123287629034103
ACAD8 -1 0.670577072505867
ACAD9 -1 0.143999116662996
ACADM 1 0.252848384332225
ACADS 1 0.0354786626859755
ACADSB 1 0.000248908585516539
ACADVL 1 0.437100749809277
ACAN -1 0.657934520098606
ACAP1 -1 0.055831988684603
ACAP2 -1 0.0468775057547557
ACAP3 -1 0.471464734044903
ACAT1 1 0.0996210303352896
ACAT2 1 0.628972826934298
ACBD3 1 0.13843776715984
ACBD5 1 0.351316292789476
ACBD6 -1 0.74436436553249
ACD 1 0.965754730373023
ACE -1 0.33238205604602
ACIN1 -1 0.265182946978727
ACLY 1 0.709222410813695
ACO1 1 0.935489012747617
ACO2 1 0.376552850926773
ACOT1 1 0.0146036734682162
ACOT11 1 0.33890655833954
ACOT13 1 0.431449578418089
ACOT2 1 0.0131960464330806
ACOT4 1 0.095499210137023
ACOT7 1 0.571417492807986
ACOT8 1 0.954530974879525
ACOT9 -1 0.0634889449268543
ACOX1 1 0.939199244710691
ACOX3 1 0.408223088820798
ACP1 1 0.0790833095074392
ACP2 1 0.197145447445265
ACP5 1 0.869587070789155
ACP6 1 0.0676908624799973
ACSF2 1 0.00961386932992648
ACSF3 1 0.758901235164779
ACSL1 -1 0.127838874248097
ACSL3 -1 0.0188382976167276
ACSL4 -1 0.232572433250404
ACSL5 -1 0.0207152495125893
ACSM1 1 0.531932451225293
ACSM3 1 0.865244821184616
ACSS1 1 0.111570767903338
ACSS2 -1 0.217301147490612
ACSS3 1 0.0171759723352079
ACTA1 -1 0.632367274298635
ACTA2 -1 0.863278851068242
ACTB 1 0.813537956104309
ACTBL2 1 0.899281741166662
ACTG1 1 0.836090797618025
ACTG2 -1 0.8927432166805
ACTL6A -1 0.646216463404989
ACTL6B -1 0.990079004526034
ACTL8 -1 0.0688324450760408
ACTN1 -1 0.214985863400522
ACTN2 -1 0.137828269591415
ACTN3 -1 0.0804690489912009
ACTN4 -1 0.188774499161827
ACTR10 -1 0.941449287328391
ACTR1A 1 0.387171155352374
ACTR1B 1 0.308229953067407
ACTR2 -1 0.163590929533979
ACTR3 -1 0.325643573754856
ACTR3B -1 0.121407070299306
ACTR5 1 0.207308460402845
ACTR6 1 0.649431134910127
ACTR8 1 0.468204044448348
ACY1 1 0.29008111311843
ACYP1 1 0.202128928996081
ACYP2 -1 0.313149937796463
ADA -1 0.498024007140625
ADA2 -1 0.305928391881219
ADAL 1 0.147821680602678
ADAM10 -1 0.45195158207876
ADAM15 -1 0.348374403549301
ADAM17 1 0.874055617055027
ADAM9 -1 0.120026058036024
ADAMTS12 -1 0.814484204603873
ADAMTS2 1 0.363334458655924
ADAMTS4 -1 0.870318285293492
ADAMTSL1 1 0.542004161055557
ADAMTSL2 1 0.850330430302504
ADAMTSL4 -1 0.129852230537895
ADAP1 -1 0.552533098011639
ADAP2 1 0.87882481467109
ADAR -1 0.53682932905225
ADARB1 -1 0.012230973562343
ADAT1 -1 0.398870206129348
ADAT3 -1 0.0411345433867499
ADCK1 -1 0.34218014063589
ADCK5 -1 0.390556198568257
ADCY6 1 0.211532394598969
ADD1 -1 0.19853914502303
ADD2 -1 0.000642748681237122
ADD3 -1 0.937359593361298
ADGRE2 -1 0.405917051406829
ADGRE5 -1 0.242161666796518
ADGRF5 -1 0.880610541267549
ADGRG1 -1 0.265834760795478
ADGRL1 -1 0.260324286297121
ADGRL2 1 0.272831697823797
ADGRL4 -1 0.813942568360881
ADH1B 1 0.0227993110588593
ADH1C 1 0.0335229949405005
ADH4 1 0.0176213434816549
ADH5 1 0.457100056589293
ADHFE1 1 0.0060891797989497
ADI1 -1 0.00285448851191089
ADIPOR1 1 0.168037286368625
ADIRF 1 0.00458986084359248
ADK 1 0.00765168995140639
ADNP -1 0.48612819347053
ADO -1 0.00271002429337858
ADPGK -1 0.362086108844908
ADPRH -1 0.704813831113357
ADPRHL2 1 0.270441705350461
ADRM1 1 0.292491048505017
ADSL -1 0.0937295517686482
ADSS -1 0.746657942409581
ADSSL1 1 0.0802387528147914
AEBP1 1 0.778551233855705
AEBP2 -1 0.810233524298286
AES 1 0.126643085525509
AFAP1 -1 0.0138050754713654
AFAP1L1 1 0.230337050225656
AFAP1L2 1 0.311184541961741
AFDN -1 0.00980026490368414
AFF1 1 0.468565166030245
AFF3 1 0.35719824170231
AFF4 -1 0.752019006046229
AFG1L 1 0.652313831904923
AFG3L2 -1 0.470878053301929
AFM 1 0.325584281343504
AFMID 1 0.178916399578924
AFTPH 1 0.279717887419551
AGA 1 0.152417689324267
AGAP1 -1 0.512278832893315
AGAP11 -1 0.72540221120107
AGAP2 1 0.905931127720659
AGAP3 -1 0.459329756347854
AGFG1 -1 0.197930495468326
AGFG2 1 0.308025457631405
AGGF1 1 0.441595253923546
AGK -1 0.876708634167089
AGL 1 0.0473332762860244
AGO1 1 0.264644144433733
AGO2 -1 0.0181822107956634
AGO3 1 0.29466809320545
AGO4 1 0.96325786336487
AGPAT1 -1 0.117390381671005
AGPAT3 -1 0.944578288950105
AGPAT5 -1 0.150429071721452
AGPS 1 0.199719696231706
AGR2 1 0.000128510537138846
AGR3 1 2.41737385321791e-05
AGRN -1 0.0127021544227958
AGT 1 0.0931757002543872
AGTPBP1 -1 0.0385597168341952
AGTRAP -1 0.0621956830679916
AHCTF1 -1 0.227540049810271
AHCY 1 0.34610849218341
AHCYL1 1 0.0496281444623609
AHCYL2 1 0.025133297195357
AHDC1 -1 0.407134635026052
AHNAK 1 0.00288529624393717
AHNAK2 1 0.353047390713891
AHR 1 0.309060333850398
AHSA1 -1 0.0863219043846365
AHSG 1 0.142513628954952
AHSP -1 0.242684121770636
AIDA 1 0.0433834247827437
AIF1 -1 0.235896003671862
AIF1L -1 0.010185779619478
AIFM1 1 0.0637699229465517
AIFM2 1 0.00938410499565312
AIMP1 1 0.632789852916873
AIMP2 -1 0.676449395530433
AIP 1 0.509436210427912
AJUBA -1 0.364529348721531
AK1 1 0.162758435240604
AK2 -1 0.389901630914454
AK3 -1 0.769908070576
AK4 -1 0.214939898170907
AK5 1 0.00760256831636292
AK6 1 0.165382616730313
AKAP1 1 0.790949104395154
AKAP10 1 0.416220460385597
AKAP11 -1 0.892849603757517
AKAP12 1 0.0278734357593942
AKAP13 -1 0.0722906550444658
AKAP17A -1 0.229472937232869
AKAP5 1 0.0154156196123135
AKAP7 1 0.127212385490442
AKAP8 -1 0.00467501614143694
AKAP8L -1 0.295080119292059
AKAP9 1 0.00391159640026468
AKNA 1 0.875574582063462
AKR1A1 1 0.0192102915458231
AKR1B1 1 0.24292054002471
AKR1B10 1 0.79598858691262
AKR1B15 1 0.839096993658229
AKR1C1 1 0.289272549430678
AKR1C2 1 0.27165906039758
AKR1C3 1 0.185696838124701
AKR7A2 1 0.00130966037412122
AKR7A3 1 0.00232634663558419
AKT1 -1 0.659402171329277
AKT1S1 1 0.0417393156901586
AKT2 1 0.204468971532185
AKT3 1 0.94949984406739
AKTIP 1 0.582748891704757
ALAD 1 0.0249791223068054
ALAS1 -1 0.569428957530248
ALB 1 0.0855663545549617
ALCAM 1 0.0234185458823856
ALDH16A1 1 0.181995517671353
ALDH18A1 -1 0.353544339270275
ALDH1A1 1 0.00934985030157603
ALDH1A2 1 0.323965415938852
ALDH1A3 -1 0.0197305991541018
ALDH1B1 1 0.8444841698032
ALDH1L1 1 0.410642601443025
ALDH1L2 -1 0.235934109775574
ALDH2 1 0.14039540158127
ALDH3A1 1 0.00346009045223451
ALDH3A2 1 0.0177062535842189
ALDH3B1 1 0.160192157881191
ALDH4A1 1 0.0339590368548409
ALDH5A1 1 0.694640972468721
ALDH6A1 1 0.0517817249660246
ALDH7A1 1 0.370670324408649
ALDH9A1 1 0.283043008448272
ALDOA 1 0.264941090546148
ALDOB 1 0.541824460361152
ALDOC 1 0.855392265657246
ALG1 -1 0.439544857712636
ALG11 1 0.911809898515523
ALG12 1 0.0611385305714527
ALG13 1 0.105988100567756
ALG2 1 0.28401023758809
ALG5 1 0.395474885575388
ALKBH1 -1 0.071372225535318
ALKBH2 -1 0.0929074941121933
ALKBH3 1 0.0854940635371932
ALKBH4 1 0.112423481495373
ALKBH5 -1 0.399876928539831
ALKBH7 1 0.0913901285637656
ALKBH8 1 0.0221994874713916
ALLC 1 0.0036391177824844
ALMS1 1 0.437973718996406
ALOX15B 1 0.0331212316026681
ALOX5 -1 0.819740505676811
ALOX5AP -1 0.233091139090139
ALPL -1 0.082279433506076
ALS2 1 0.316295030714552
ALYREF 1 0.233778221265657
AMACR 1 0.646859871720575
AMBP 1 0.0993237467541826
AMBRA1 -1 0.631514306291127
AMDHD2 1 0.0253643951722599
AMFR -1 0.990007252083551
AMMECR1 1 0.0227430226572866
AMMECR1L 1 0.354098608308243
AMOT -1 0.536372324734476
AMOTL1 1 0.158687123928424
AMOTL2 -1 0.167133341750159
AMPD2 -1 0.00294335718790552
AMPD3 -1 0.0283830089726445
AMPH 1 0.128594582253327
AMY1A 1 0.975893975639189
AMZ2 1 0.0171544777526915
ANAPC1 1 0.0554445832971857
ANAPC10 1 0.0846959254047765
ANAPC11 -1 0.986602615126533
ANAPC16 1 0.451958581793797
ANAPC2 1 0.258244660153733
ANAPC4 1 0.312364789438985
ANAPC5 1 0.98025051730294
ANAPC7 -1 0.885976343586083
ANG 1 0.587822292016058
ANGEL2 1 0.0360640520286129
ANGPT2 1 0.561169726371934
ANGPTL2 1 0.575702035322347
ANGPTL4 1 0.264669277516611
ANK1 -1 0.413293983688235
ANK2 -1 0.682086330140221
ANK3 -1 0.178201729659376
ANKFY1 1 0.236640511452664
ANKHD1 1 0.0816826907576652
ANKIB1 1 0.112115629295981
