Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
FAM136A	16.79502	15.51442	15.06896	15.61037	15.63112	16.4775	15.47989	18.09916	16.44155	17.60674	16.72161	18.80423	16.38928	18.11675	17.12864	16.36824	20.23678	17.80057
YARS	17.10068	17.67618	16.62101	15.98868	16.12446	16.3928	17.59286	16.53536	17.36194	18.80114	18.94306	18.04084	16.88317	16.24262	20.80002	18.4221	20.26968	19.10319
EIF2A	16.08337	17.30937	17.19087	16.88578	16.30232	15.8545	15.76327	17.22176	16.5381	19.01648	18.33351	18.10272	18.7086	17.7813	18.78826	18.13921	18.26288	18.83365
GBP1	17.35981	16.72252	17.24919	16.57385	17.30786	16.26212	15.95587	16.84433	17.99844	19.71431	19.90528	19.78061	18.73062	18.27662	22.36172	18.5133	21.52807	19.79852
S100A8	16.01584	16.18365	16.6046	16.55298	17.87304	15.96592	17.91158	19.9007	18.76856	19.63254	22.14675	23.30508	18.00344	19.71026	21.45724	19.86757	21.51499	20.63414
GLT25D1	15.60242	16.6547	16.39341	19.02315	16.76991	16.57915	16.43173	17.07753	16.9459	17.16874	18.02134	18.44589	16.74697	20.56626	20.42327	19.13681	19.20237	18.05245
SRRM2	17.50895	16.67611	18.80128	18.90422	18.87568	16.58728	16.06205	19.0362	17.97195	19.45304	16.46496	20.37888	19.60456	18.50758	16.03235	18.93612	19.54106	20.42716
ATP6V1D	17.10866	16.49486	16.92352	17.09071	15.46528	15.54341	16.10755	18.39812	16.97632	15.2577	15.47381	19.01694	18.05706	16.44911	19.27378	18.32356	17.23659	18.06566
ATP1A1	15.47793	16.94395	16.63154	21.24383	16.56671	17.7999	15.88899	19.58862	16.35925	18.64787	18.72411	18.9348	16.28062	16.52734	15.44338	19.62676	19.95091	20.26465
PTBP3	16.85206	17.36187	15.96339	17.87963	17.33377	16.60071	16.53057	18.3304	18.72757	15.91685	17.0995	18.76746	19.0302	17.32411	17.53875	17.8019	19.5869	18.32558
NAMPT	16.57957	17.10749	16.98125	16.8438	17.33058	15.98419	18.16884	15.69572	18.26472	15.91166	19.56782	18.80867	18.45619	17.26306	19.75326	17.17121	18.58255	20.66119
BID	15.98451	16.57862	17.19464	17.06749	19.02505	17.5218	18.16835	18.00624	19.52151	18.19456	17.96387	18.28704	19.93431	19.12457	18.58945	19.23977	18.10421	21.17828
CHD4	15.50427	15.82858	16.89667	16.02153	15.83926	17.28515	16.23941	19.53191	18.06203	16.51953	15.87179	18.88962	18.30999	16.54787	15.73385	16.25434	17.74524	19.34843
CDK1	17.85726	15.13635	16.80037	20.69515	21.26539	14.38391	16.2386	19.89561	16.85001	20.52239	16.52868	20.86544	21.24109	20.71339	16.31147	20.97239	20.22541	21.2324
HMOX1	18.20958	15.32893	18.05017	16.02025	18.70354	16.33763	17.31149	17.42735	15.7043	18.82749	18.58978	18.61159	19.08677	15.30648	18.14798	17.85069	18.6875	18.42481
IL4I1	17.28433	18.94407	17.05618	15.85034	17.07236	16.87151	18.81888	16.53379	16.6871	19.16032	19.02318	19.01272	18.77375	18.61465	21.24365	20.19761	18.4677	19.05075
CHMP4B	16.38218	18.64709	16.68547	18.84574	17.17002	15.78112	16.82206	18.6937	18.93192	19.17202	16.46226	18.29827	19.29439	18.91535	18.85687	18.16879	18.30001	20.39226
TARS	17.8305	19.02877	17.93349	20.41947	16.48528	16.35492	18.73026	15.88899	17.28212	17.33523	17.93134	19.21828	19.03443	17.03629	19.24922	20.18459	19.59485	18.70937
CYBB	16.78118	17.18078	15.95703	17.64261	17.16683	17.65641	15.43665	17.69676	17.26024	18.8059	16.17868	17.4981	19.27864	16.69547	19.52018	17.9026	17.85635	18.13616
DSP	17.04567	17.02252	17.34009	16.4135	17.53587	16.22114	17.59494	18.24975	17.11969	16.80876	16.81065	17.46985	17.01607	18.22788	16.56326	18.60628	18.9609	15.65561
NSUN2	17.07024	16.59181	15.68372	18.02361	16.89192	15.69389	16.44689	17.11513	17.43695	18.06666	17.17055	16.58018	19.47336	18.00141	17.43119	18.51918	17.88154	19.54387
CXorf26	16.85748	16.01516	16.94229	17.34802	16.70698	16.49608	16.41016	16.93168	15.81096	15.74465	17.99888	16.98682	15.86926	17.86617	18.17738	15.80447	18.33804	15.64248
CAST	16.47803	20.37994	15.62125	18.633	15.40983	15.75555	16.1754	16.3075	18.9048	19.68224	19.02867	17.70052	20.17524	17.91444	16.72153	18.7281	17.87478	20.29737
UBE2L6	18.12268	16.27124	16.68186	17.93853	16.03051	17.56787	17.79059	18.60924	15.99138	17.48295	18.87888	19.61412	16.01336	17.79049	19.46758	19.04006	18.70164	18.47255
S100A9	16.45667	17.29937	16.11584	17.03306	17.28008	16.29207	16.59217	20.59987	16.49055	20.37124	23.49582	24.6804	19.11266	22.01281	22.83567	19.91351	21.45699	20.34234
NASP	16.30914	17.59956	16.59477	16.92851	16.58897	15.97748	16.96607	17.03617	16.53428	19.67319	20.99079	19.62373	19.60643	19.07903	19.33294	18.75858	18.88226	20.53896
C17orf61	16.88659	19.07352	17.03695	16.82298	17.42593	16.13786	18.64044	19.4581	19.06234	18.52749	18.66306	17.2993	19.47888	16.9961	17.91759	16.15957	16.75193	18.78341
SSR3	17.33131	20.07156	16.73004	20.30095	16.27824	16.62256	15.81186	18.5411	16.13804	19.5583	20.16447	19.27571	18.49584	15.605	18.6849	19.787	19.86964	17.93698
ADSL	17.00552	18.47876	18.52375	17.38314	16.49908	17.24626	19.29798	16.55941	16.89096	19.34217	18.94544	19.55742	16.83792	18.95444	19.07237	18.44205	20.63777	20.02918
ISG15	16.01023	17.54094	16.08146	16.9533	17.23764	15.57392	18.13011	20.76166	15.48495	18.35294	17.1207	20.02769	19.95617	18.49037	17.97242	20.34299	21.16466	16.82041
HDLBP	17.34369	16.15191	16.51015	18.48939	16.58274	18.87846	16.87753	17.33011	15.96113	18.12217	18.04479	18.07143	16.73246	18.81775	16.9779	16.91469	18.60729	19.93891
TXNRD1	17.69921	16.21613	16.5131	16.76413	16.35316	18.10631	16.00317	18.21195	16.2275	15.77494	17.55839	18.66052	16.1962	17.68353	17.24724	17.86097	19.79255	16.93825
PFDN1	15.32694	15.50065	17.44101	16.67986	18.80574	17.7835	16.13158	18.60704	18.3557	19.00204	18.27939	19.04324	18.56317	18.50684	18.76995	18.82482	16.60043	18.28897
PYCR1	19.7291	18.35139	16.06426	16.87088	15.75222	15.68731	16.45386	16.44142	19.23984	17.05347	19.60252	19.23557	19.01078	20.3849	17.27427	20.59696	19.26902	20.81206
COPB1	16.51799	17.42356	16.79144	16.98876	19.6214	15.59558	16.67462	16.32257	15.75807	20.4915	20.10521	19.97309	16.37164	15.36338	16.10166	19.95504	20.39916	15.68758
CROCC	16.36743	16.43451	17.17218	18.64104	17.05372	16.59395	16.74824	16.51447	17.41097	17.25741	17.6154	18.74465	18.97407	17.37237	17.62892	15.99723	19.62364	19.47961
CSTF2	16.16145	16.3148	16.31837	18.18277	15.58431	16.95512	16.7147	18.30225	16.8047	18.67187	16.58522	18.6282	18.64565	15.82516	18.20204	15.69797	18.06755	18.10283
TNC	19.19528	17.12716	18.77774	19.87177	16.54537	16.36435	21.76713	15.73918	17.69432	18.11934	18.36487	18.50347	17.43143	22.00024	21.73488	17.29311	17.63467	18.16413
VDAC3	17.28399	17.14504	19.80112	19.62973	19.65896	17.02257	15.61725	21.11813	16.68958	19.38437	19.03851	19.72471	16.90871	16.09017	15.85044	20.2447	21.60164	19.4674
PGM3	15.10404	16.70816	16.36051	16.03352	17.36851	16.09925	18.90997	15.45986	16.79198	18.37933	18.25003	18.69285	15.32094	19.03413	18.18626	19.11705	18.92088	19.08208
CAPRIN1	16.2741	16.96979	15.95075	16.77964	16.7525	15.84264	16.85542	18.92524	14.78054	15.93047	16.08816	19.15432	18.8059	18.66345	20.16668	18.96347	20.53308	19.84488
MX1	17.36573	16.70436	15.80304	17.53058	16.25943	16.53309	16.79987	21.23929	16.86711	18.94524	21.21116	22.33178	18.07064	19.63582	17.76987	21.88092	23.52874	17.05235
C8orf55	16.35601	16.51627	18.42214	19.69513	18.69377	16.83434	16.22083	19.29932	15.90986	19.59938	20.44728	16.80977	19.37675	16.98952	17.21304	21.14021	20.46493	18.55146
GARS	16.44003	17.49124	16.72676	14.83557	16.02771	16.64494	17.97377	16.19989	15.98129	16.37872	16.62231	19.99148	19.25388	19.30486	20.48503	19.98954	19.81685	18.31252
UBE2G1	17.46881	17.04294	16.81951	16.68761	16.74958	16.99958	18.0288	16.11412	16.21373	18.31637	16.05269	17.70408	17.28537	18.37585	18.19446	18.29598	17.44815	17.11472
