Gene	ER	ER.1	ER.2	ER.3	TNBC	ER.4	TNBC.1	ER.5	ER.6	ER.7	ER.8	ER.9	TNBC.2	ER.10	ER.11	TNBC.3	ER.12	ER.13	ER.14	ER.15	TNBC.4	ER.16	ER.17	ER.18	ER.19	TNBC.5	ER.20
A1BG	1.452018241	-0.094081962	-0.294712294	0.248477457	0.276449871	0.526289507	-1.019170896	1.207694938	0.112224272	0.504064919	0.044298832	1.060462993	-0.121837242	1.528963287	-0.664220746	-0.081230625	-1.2778861	-0.0181497	0.158125901	1.935021673	0.127086844	0.038705976	0.990479607	-0.440432023	0.911289949	0.07886897	0.019959404
A2M	0.954025147	0.078037673	-0.538030812	0.314598909	0.267318562	0.053600611	-1.134524248	0.823111614	-0.366697771	0.078795955	-0.726900157	0.620224152	0.336987842	0.815666456	-0.32008445	0.327638827	-1.800291598	-0.311026916	-0.428947454	1.137053972	-0.084779645	-0.991436428	0.587425847	-0.409907393	0.886771343	0.008372607	-0.618841994
A2ML1	-0.568482868	-0.479446104	-0.790745441	-0.843588875	-0.301247332	-0.841621428	2.520400533	0.134608597	-0.886137586	-0.916630971	-1.034705575	0.349614329	0.828975738	0.01987388	-0.984842929	0.879974979	-0.712340638	-0.842805015	-0.418364447	0.107258393	0.957455898	-1.156269259	-0.815484765	1.311927173	-1.329975226	0.779754838	-0.252248929
AAAS	0.704046382	-0.140837909	0.159826757	-0.394540092	-0.376718813	-0.251519705	0.27415747	0.0574744	0.227362879	1.048786499	-0.002716376	0.985917171	-0.044430305	0.52994705	-0.385764063	-0.075927812	0.339633241	-0.022888983	-0.167384006	0.558478083	0.521540406	0.431915135	0.009275342	0.06230937	0.724148865	0.252777614	0.086946407
AACS	-0.530189347	-0.05331012	-0.158634732	-0.578711566	-0.741819268	-0.46600721	-0.479431441	-0.389819687	-0.482495482	-0.03244375	-0.737749155	0.614975893	0.03060211	0.145649457	-0.200546689	0.166027801	0.099568855	-0.257341039	-0.660919996	0.106831656	-0.336152736	-0.009627654	0.151842876	0.062634101	-0.422899706	-0.382467743	-0.547572485
AAGAB	0.11326221	0.102970688	0.349281946	-0.524779006	-0.511092191	0.248536477	-0.550094978	-0.141638303	0.370310549	1.020763618	0.00190229	0.298058344	-0.599544657	0.469236253	0.21772715	-0.278064038	-0.103099083	0.123048142	0.123067416	0.720265559	0.275708898	0.639509802	0.000837449	-0.394203809	0.809582025	-0.342115536	-0.479063892
AAK1	0.054872003	-0.138152792	0.169659185	-0.039957253	-0.174008676	0.151214322	0.190083642	0.20367765	0.283132495	0.344552581	0.006880422	0.266956567	0.268793007	0.348110287	0.045686898	0.170243529	0.068978709	0.146290908	0.336608011	-0.022660415	0.309437631	-0.040754672	0.167910508	0.240580816	0.522737655	0.162114499	0.231227075
AAMDC	-1.282585982	-0.784890602	-0.288814643	0.750534409	0.416589472	0.627484109	0.468606167	-1.176727506	-0.014182772	-2.353329462	-0.08766196	-1.795629494	-0.20405925	-0.530634555	-1.075658784	-0.301957574	0.495541951	-0.820942314	0.645707744	-1.557034403	-1.122871182	0.180914881	-0.358281746	0.000418467	-1.987719011	-0.426935875	-0.119931589
AAMP	0.326804258	0.410416516	-0.070475438	-0.33561324	-0.06527661	-0.246360973	-0.367328741	-0.101430359	-0.159495632	0.54315557	-0.093572901	-0.267242398	-0.003979765	0.126723519	-0.164233636	-0.196183343	-0.142240191	0.034792125	0.016784451	0.001203891	-0.1359612	0.36498136	0.06370082	-0.036587871	-0.453073386	-0.22051785	0.10679893
AAR2	0.66272088	0.260760926	-0.216071764	-0.24340923	0.041578313	-0.473938535	-0.462102859	0.041639213	0.461676793	1.801505306	-0.296145055	1.095130549	-0.053326214	0.424778349	0.044369094	-0.005120629	-0.193574058	-0.093334046	-0.209333144	0.597560972	0.162325013	0.226499617	-0.065851661	0.195571648	1.13535669	0.042359427	0.191913136
AARS	-0.455349789	-7.2e-05	-0.040112782	0.062642145	0.109576986	-0.147879867	0.068023901	-0.134561891	-0.138624399	0.73628352	-0.300263716	0.186725777	-0.119900963	-0.052618873	0.427515096	-0.113165506	-0.203941245	-0.048910244	-0.318673482	-0.017332009	1.052453946	0.229458753	-0.103740274	0.454855384	-0.107056384	0.376944434	-0.155814524
AARS2	-0.004862311	-0.11909117	0.158101903	0.01260096	-0.142371181	-0.061303182	0.522228014	0.106675501	0.262860731	-0.264305966	0.061706235	0.150141018	-0.123363447	-0.194948618	-0.628396347	-0.147070137	0.478699307	-0.087867396	-0.220583358	-0.107516705	0.414735838	0.080135127	-0.152722536	0.390320223	-0.028270798	0.300499009	0.232317781
AARSD1	0.29032535	-0.282149653	0.046532416	-0.198509942	-0.304947908	-0.314826327	-0.613115464	-0.049568806	0.235067689	0.105736632	0.330335759	-0.112445816	0.007247037	0.210596032	0.082136929	-0.05185039	0.208909894	-0.218779546	-0.024756265	-0.14111924	-0.068190182	0.414492945	0.074595894	-0.270686894	-0.094788296	-0.273137635	-0.273900398
AASDHPPT	0.499115712	0.036485906	0.226619364	0.754258017	-0.224556815	-0.271963585	0.088538059	-0.193461557	0.211393242	0.818113462	-0.281839203	0.294216473	-0.081853284	0.59082857	-0.52266456	-0.044431847	0.24514347	0.142405846	-0.105708231	0.322590199	0.330646837	0.152520045	0.091104909	0.534934331	0.675088657	0.172581319	0.136425775
AASS	-0.456861025	-0.241724853	0.111131393	-0.015028603	-0.01150585	0.017840385	-0.394190001	0.748817181	1.387179469	0.570440588	0.098598577	0.334149069	0.018081344	0.033559639	-0.272621638	-0.290299353	-0.541828207	-0.169756834	0.566790492	0.618205433	-0.047419171	-0.141802218	0.601537426	0.174339164	0.428687487	0.201682675	0.341392493
