Protein	Sign	Pvalue
4F2_HUMAN	NA	NA
6PGL_HUMAN	-1.37355547965629	0.202821914210411
8ODP_HUMAN	NA	NA
1433B_HUMAN	-1.1216561847663	0.304881662666879
1433E_HUMAN	NA	NA
1433F_HUMAN	NA	NA
1433G_HUMAN	1.26270674610134	0.262380328563627
1433Z_HUMAN	-0.121196556909668	0.908255314435732
A1AG1_HUMAN	4.39335216646064	0.00134898522005233
A1AG2_HUMAN	1.43156920004212	0.182770338560735
A1AT_HUMAN;A1ATR_HUMAN	1.19060566135009	0.26130361728127
A1BG_HUMAN;CON__Q2KJF1	3.52317356962552	0.00550918412997303
A2AP_HUMAN;CON__P28800	-0.236362086846587	0.819091060097028
A2GL_HUMAN	1.9608714713834	0.0783228607973803
A2LD1_HUMAN	0.669352827765232	0.539923197246825
A2MG_HUMAN;PZP_HUMAN	1.07928604618732	0.305803887605
A2ML1_HUMAN	-2.32569768113245	0.102549397526886
A4_HUMAN	-1.77374173459678	0.114033775786741
AACT_HUMAN	1.23406574696466	0.245393821297813
AATC_HUMAN	0.434282314763912	0.686482975995411
ABHEB_HUMAN	-1.77500557829077	0.150558232709863
ABP1_HUMAN	-0.107674732598356	0.917764025916325
ACE_HUMAN	NA	NA
ACTN4_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN	-0.292751335530603	0.818694859749668
ACV1B_HUMAN	-2.25547464361787	0.0541031075101062
ACY1_HUMAN	-1.05624298110411	0.325941583899739
AEBP1_HUMAN	NA	NA
AFAM_HUMAN;CON__REFSEQ:XP_585019	-0.207118302441993	0.840074185199894
AGAL_HUMAN	-4.20567909058972	0.004007186680695
AGRIN_HUMAN	-0.184364403806511	0.857412712844376
AK1A1_HUMAN	-1.68092713706905	0.168071965024255
AKAP3_HUMAN	-3.0228089668767	0.094227149699587
AL1A1_HUMAN	-1.6641027836044	0.171424046850823
ALDOA_HUMAN	-2.42217703008797	0.03847302432668
ALDOB_HUMAN	-1.99441280707604	0.0740743082438264
AMBP_HUMAN	-0.495725126851692	0.630801237476851
AMD_HUMAN	NA	NA
AMPE_HUMAN	1.81267745853946	0.119829742955994
AMPN_HUMAN	-0.861095106638759	0.41153869534406
AMY1_HUMAN	-2.98846557999269	0.0173745594199302
AMY2B_HUMAN	-3.4398793269397	0.0184377768928448
AMYP_HUMAN	-3.55705661215814	0.00925583985732548
ANAG_HUMAN	-3.13189076878935	0.0120848337448423
ANGI_HUMAN	-1.30056790877512	0.25012069309651
ANGL2_HUMAN;ANGL6_HUMAN	-1.50233380336841	0.176710032174981
ANGT_HUMAN	0.73275745404429	0.482353396867718
ANT3_HUMAN;CON__P41361	2.60828552510565	0.0261175192707981
ANTR1_HUMAN	0.948319599213567	0.370729182270538
ANXA1_HUMAN	-1.83046349389853	0.116913022735554
ANXA2_HUMAN;AXA2L_HUMAN	-4.6832224520544	0.00541790356518579
ANXA3_HUMAN	-0.621931776335549	0.597436114754785
ANXA4_HUMAN	0.0120482759227995	0.99077772021355
ANXA5_HUMAN	-0.26650851996048	0.807115985079359
APOA1_HUMAN;CON__P15497	1.99588327925138	0.0738931063062747
APOA2_HUMAN	1.78610543672994	0.107732150729797
APOA4_HUMAN	3.32997190590663	0.00761822726141248
APOA_HUMAN	-2.78847233510341	0.0191699519148103
APOB_HUMAN	NA	NA
APOC3_HUMAN	1.45303901744024	0.283383984708749
APOD_HUMAN	-2.44112954278224	0.0347816954094071
APOE_HUMAN;CON__Q03247	-1.56854385899671	0.147825600002533
APOF_HUMAN	0.635580144894037	0.552997185064931
APOH_HUMAN;CON__P17690	-1.04744964841092	0.319548918100997
APOM_HUMAN	-0.0163555774647547	0.987583291055962
ARK73_HUMAN	NA	NA
ARSA_HUMAN	-1.52686173828237	0.161140952083683
ARSB_HUMAN	NA	NA
ASAH1_HUMAN	-1.8740670988134	0.103060299009844
ASGR2_HUMAN	-5.04677698949798	0.0370912865603303
ASSY_HUMAN	-1.19604757789587	0.285298525892246
ATL4_HUMAN	-2.90242537498352	0.0229065615118715
ATNG_HUMAN	NA	NA
ATPB_HUMAN	1.68770572770478	0.166740896944297
ATRN_HUMAN	-2.20516376693014	0.0585207525748759
ATS1_HUMAN	2.10140906666	0.0895929154174213
B2MG_HUMAN	1.14080349137913	0.280535879036512
B3GN1_HUMAN	-2.74705563041935	0.0286252813969452
B4GT1_HUMAN	NA	NA
BAMBI_HUMAN	-1.4076497366253	0.202057244201094
BASI_HUMAN	-3.45932518394082	0.0134783984650708
BASP1_HUMAN	-1.06365926088497	0.318532300684206
BCAM_HUMAN	-1.55735486918677	0.170394210636822
BGAL_HUMAN;GLB1L_HUMAN	-2.02380941375072	0.0775988183583205
BHMT1_HUMAN	-1.55648390014664	0.158205448528808
BID_HUMAN	NA	NA
BMPR2_HUMAN	-2.71069059545298	0.0350738675592082
BPI_HUMAN	NA	NA
BPIB1_HUMAN	NA	NA
BROX_HUMAN	-2.17084849734709	0.118361674041733
BST1_HUMAN	0.621211110909387	0.578465590256088
BT2A1_HUMAN;BT2A2_HUMAN	-1.28918860615302	0.233356380081768
BTD_HUMAN	-1.3947454771499	0.193298489875045
BTLA_HUMAN	NA	NA
BY55_HUMAN	-0.837137106020985	0.449616133277718
C1R_HUMAN	0.120160492354753	0.907732143064706
C1RL_HUMAN	-2.70218619508146	0.0243065180797131
C1S_HUMAN	0.417829480202044	0.704176119806085
C4BPA_HUMAN	NA	NA
C163B_HUMAN	0.0171241467531243	0.987412770991761
CA159_HUMAN	-0.534142122058363	0.646666776228626
CAD11_HUMAN	-1.59313238032048	0.142214796949943
CAD13_HUMAN	-1.54959801631438	0.152281108062041
CAD15_HUMAN	-0.203224101938813	0.872361729140425
CADH1_HUMAN	-0.859948918054048	0.414842889528609
CADH2_HUMAN	-1.27180643872316	0.239165841112776
CADH6_HUMAN;CAD10_HUMAN;CADH9_HUMAN	0.626350761286985	0.558565437089774
CADH8_HUMAN	0.269805568573174	0.798091055132715
CADM1_HUMAN	-2.0804073745117	0.0710701628089274
CADM2_HUMAN	-2.32607967673893	0.0589562142815412
CADM3_HUMAN	0.151612325299906	0.88376971884878
CADM4_HUMAN	-3.53604326322006	0.00539220118127437
CAH1_HUMAN	2.36378937792395	0.141857485917919
CAH2_HUMAN	-0.634577865419514	0.590611033867888
CALL3_HUMAN	NA	NA
CALL5_HUMAN	NA	NA
CALM_HUMAN	0.361463552676673	0.728416884469756
CALR_HUMAN	3.0794106073549	0.0912503129526538
CAMP_HUMAN	-1.08039925806918	0.315776048884429
CAP7_HUMAN	NA	NA
CASPE_HUMAN	-2.5419179255378	0.238609571046707
CATA_HUMAN	-0.0571805357077285	0.959600264845218
CATB_HUMAN	-0.930087298812106	0.379536200428371
CATC_HUMAN	-1.82140660939574	0.101875685283484
CATD_HUMAN	-2.6800761032588	0.0252029247278682
CATG_HUMAN	NA	NA
CATH_HUMAN	-2.78551493082753	0.03176493131956
CATL1_HUMAN	2.34644892183031	0.0469407458749456
CATZ_HUMAN	3.28484938362316	0.00945576884228005
CBG_HUMAN	1.2192688028581	0.250720524665067
CBPE_HUMAN	-2.86550725997707	0.0209731759770313
CBPM_HUMAN	-2.54212153257155	0.0439549725106949
CBPZ_HUMAN	-1.21917456452442	0.262261823691518
CD5L_HUMAN	0.417824498442542	0.685867558253944
CD7_HUMAN	-1.59775672609724	0.141180897343553
CD9_HUMAN	-2.74259564133725	0.0336198556408309
CD14_HUMAN	-1.19748857120326	0.258730215813299
CD27_HUMAN	-2.55035817167104	0.0288462329559982
CD44_HUMAN	-2.67433561467881	0.0233183563135804
CD59_HUMAN	-2.56893514086821	0.0279416566991608
CD166_HUMAN	0.798719159923321	0.570944085770098
CD177_HUMAN	-1.0087326498937	0.419303179801249
CD209_HUMAN	-1.31126151863101	0.246754620529819
CD248_HUMAN	-3.28029955419936	0.00828474866373008
CD276_HUMAN	NA	NA
CD320_HUMAN	-0.454652936469143	0.661442052236344
CDC42_HUMAN	-1.26424943454528	0.274790680610515
CDD_HUMAN	0.674228148178704	0.622344913719989
CDHR2_HUMAN	-1.56210944602608	0.169288420909648
CDHR5_HUMAN	-2.68184795596294	0.0314549362098266
CEAM5_HUMAN	-1.46863366186153	0.279673351160011
CEAM8_HUMAN	NA	NA
CEL_HUMAN	-2.30075912483787	0.0504110600518182
CERU_HUMAN	1.39896135076975	0.192067582767615
