"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","4F2_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.927083333333333,0.0520833333333333
"2","6PGL_HUMAN","AR_vs_STA",-0.90268471148472,0.657188387986049,-1.37355547965629,9,0.202821914210411,0.439988125550791,NA,0.73015873015873,0.384920634920635
"3","8ODP_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"4","1433B_HUMAN","AR_vs_STA",-1.22048424618214,1.08810905048986,-1.1216561847663,6,0.304881662666879,0.520135463055784,NA,0.888888888888889,0.111111111111111
"5","1433E_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.979166666666667,0
"6","1433F_HUMAN","AR_vs_STA",1.121110681552,NA,NA,0,NA,NA,NA,0.958333333333333,0
"7","1433G_HUMAN","AR_vs_STA",0.949447008561506,0.751914101586106,1.26270674610134,5,0.262380328563627,0.486506818023597,NA,0.902777777777778,0
"8","1433Z_HUMAN","AR_vs_STA",-0.0772780370455227,0.637625680266812,-0.121196556909668,5,0.908255314435732,0.955489989034916,NA,0.941176470588235,0.0441176470588235
"9","A1AG1_HUMAN","AR_vs_STA",2.66692249437966,0.607035901819857,4.39335216646064,10,0.00134898522005233,0.118360638145514,NA,0.497311827956989,0.239247311827957
"10","A1AG2_HUMAN","AR_vs_STA",1.06784432886729,0.745925749754793,1.43156920004212,10,0.182770338560735,0.422034332328839,NA,0.65,0.25
"11","A1AT_HUMAN;A1ATR_HUMAN","AR_vs_STA",0.766857746931144,0.644090459020298,1.19060566135009,10,0.26130361728127,0.486506818023597,NA,0.666666666666667,0.297619047619048
"12","A1BG_HUMAN;CON__Q2KJF1","AR_vs_STA",1.5815519101108,0.448899799812843,3.52317356962552,10,0.00550918412997303,0.145130386247536,NA,0.519047619047619,0.404761904761905
"13","A2AP_HUMAN;CON__P28800","AR_vs_STA",-0.0778745268572274,0.329471311986565,-0.236362086846587,8,0.819091060097028,0.912047171490286,NA,0.863636363636364,0.166666666666667
"14","A2GL_HUMAN","AR_vs_STA",1.55249990315882,0.791739757457706,1.9608714713834,10,0.0783228607973803,0.288964844729421,NA,0.576923076923077,0.269230769230769
"15","A2LD1_HUMAN","AR_vs_STA",0.321576672769178,0.480429243636463,0.669352827765232,4,0.539923197246825,0.728919281574509,NA,0.783333333333333,0.0833333333333333
"16","A2MG_HUMAN;PZP_HUMAN","AR_vs_STA",0.901080967204788,0.834886145695986,1.07928604618732,10,0.305803887605,0.520454693327741,NA,0.881048387096774,0.227822580645161
"17","A2ML1_HUMAN","AR_vs_STA",-1.51770849249958,0.652582020789805,-2.32569768113245,3,0.102549397526886,0.317052285803647,NA,0.758333333333333,0.1125
"18","A4_HUMAN","AR_vs_STA",-0.860138101597617,0.484928603088402,-1.77374173459678,8,0.114033775786741,0.33224655661322,NA,0.583333333333333,0.416666666666667
"19","AACT_HUMAN","AR_vs_STA",0.8639361093268,0.700072999718015,1.23406574696466,10,0.245393821297813,0.478885550296225,NA,0.659259259259259,0.348148148148148
"20","AATC_HUMAN","AR_vs_STA",0.158505110559886,0.364981730020606,0.434282314763912,4,0.686482975995411,0.823779571194493,NA,0.954545454545455,0
"21","ABHEB_HUMAN","AR_vs_STA",-1.54751022209656,0.871834004931255,-1.77500557829077,4,0.150558232709863,0.385053658956876,NA,0.845238095238095,0.130952380952381
"22","ABP1_HUMAN","AR_vs_STA",-0.0513418962266596,0.476823995636685,-0.107674732598356,6,0.917764025916325,0.958373053611738,NA,0.833333333333333,0.1
"23","ACE_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.958333333333333,0
"24","ACTN4_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN","AR_vs_STA",-0.0850778414228559,0.290614699566288,-0.292751335530603,1,0.818694859749668,0.912047171490286,NA,0.979166666666667,0
"25","ACV1B_HUMAN","AR_vs_STA",-1.64898821967819,0.73110474743939,-2.25547464361787,8,0.0541031075101062,0.244029549752031,NA,0.452380952380952,0.166666666666667
"26","ACY1_HUMAN","AR_vs_STA",-0.6269439322606,0.59356032984498,-1.05624298110411,7,0.325941583899739,0.539971237111551,NA,0.827380952380952,0.30952380952381
"27","AEBP1_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.933333333333333,0
"28","AFAM_HUMAN;CON__REFSEQ:XP_585019","AR_vs_STA",-0.116120287441051,0.560647157068951,-0.207118302441993,10,0.840074185199894,0.923705791676621,NA,0.806497175141243,0.196327683615819
"29","AGAL_HUMAN","AR_vs_STA",-1.23090765033311,0.292677501972819,-4.20567909058972,7,0.004007186680695,0.143310673830562,NA,0.611111111111111,0.361111111111111
