Protein	Sign	Pvalue
AINX_HUMAN	NA	NA
DNER_HUMAN	NA	NA
H2B1C_HUMAN	NA	NA
INS_HUMAN	NA	NA
P85A_HUMAN	NA	NA
CAP7_HUMAN	NA	NA
H90B2_HUMAN	NA	NA
CRYM_HUMAN	NA	NA
SRP14_HUMAN	NA	NA
CSPG5_HUMAN	NA	NA
VEGFA_HUMAN	NA	NA
CF072_HUMAN	NA	NA
SPRC_HUMAN	NA	NA
PSCA_HUMAN	NA	NA
SIAT1_HUMAN	NA	NA
NAC3_HUMAN	NA	NA
SCNNG_HUMAN	NA	NA
PPIL2_HUMAN	NA	NA
SE1L1_HUMAN	NA	NA
KAIN_HUMAN	NA	NA
IF6_HUMAN	NA	NA
H2A1B_HUMAN	NA	NA
SCN3B_HUMAN	NA	NA
PTMS_HUMAN	NA	NA
LV405_HUMAN	NA	NA
PRDX5_HUMAN	NA	NA
SMR3B_HUMAN	NA	NA
DBPA_HUMAN	NA	NA
JSPR1_HUMAN	NA	NA
CEAM7_HUMAN	NA	NA
CREL1_HUMAN	NA	NA
PPIC_HUMAN	NA	NA
AATC_HUMAN	NA	NA
GMFB_HUMAN	NA	NA
RA1L2_HUMAN	NA	NA
2B13_HUMAN	6.71999645576204	0.00059397192323279
SYUG_HUMAN	-1.67144195501482	0.138786451771371
TAGL2_HUMAN	NA	NA
SAA_HUMAN	0.694874475946689	0.609193177523641
G3PT_HUMAN	4.97552455056024	0.0104591534473019
FIBG_HUMAN	4.54202826905548	0.00107897938835222
TPM4_HUMAN	-0.272273155811267	0.793360159775012
1A25_HUMAN	1.93252165660481	0.243421165302796
LV403_HUMAN	2.85815216923485	0.0199356563067247
PRDX1_HUMAN	-0.396544382028693	0.702832539213407
PDIA3_HUMAN	-1.0560010570655	0.327522486701565
FIBB_HUMAN	3.89057856640089	0.00372486356780156
ACTN1_HUMAN	1.69886260782038	0.305890870973055
CYC_HUMAN	1.33210592472866	0.408601511903449
K1C12_HUMAN	1.47978112045581	0.212211079175649
DUT_HUMAN	NA	NA
FIBA_HUMAN	3.6912994627335	0.00438190247836099
K1C14_HUMAN	3.66791527341562	0.00521844620511691
CALX_HUMAN	-0.438249673591954	0.680499466056057
TPIS_HUMAN	-0.767327321374467	0.467702295942675
RS18_HUMAN	0.483124805188282	0.713343335992203
LEG3_HUMAN	2.04898700514095	0.123155155953783
ROA2_HUMAN	1.03759444623805	0.468490306335826
CXCL7_HUMAN	1.21819390179624	0.293841859843049
IF4A1_HUMAN	1.58463157346555	0.254867719438653
A2LD1_HUMAN	-1.37606754158058	0.206759903214497
ASGR1_HUMAN	0.621051181724041	0.627493258471982
GFAP_HUMAN	1.45790288800411	0.192245365144255
KV206_HUMAN	NA	NA
ACV1B_HUMAN	NA	NA
MYL6_HUMAN	-0.481849397651804	0.647060737524738
K1C15_HUMAN	0.784004094144452	0.461126423026691
SH3L1_HUMAN	-0.653637115895322	0.539772187042676
A2MG_HUMAN	2.27812500722767	0.051528981348953
GALM_HUMAN	2.29334124745423	0.0738371900389344
ANGL3_HUMAN	0.790671585285983	0.533372071639044
HNRPC_HUMAN	0.480559906173679	0.714608514035699
1433T_HUMAN	-0.155707701279767	0.901385642891607
CO6_HUMAN	-1.9092733967723	0.0930847355883811
APOA4_HUMAN	1.44181588014251	0.182133007936791
HV102_HUMAN	2.71993526947171	0.0266070349060738
GKN1_HUMAN	NA	NA
KV122_HUMAN	1.19013362411154	0.266864903213281
HSP7C_HUMAN	-0.0644552603277864	0.949928455122667
CAPG_HUMAN	1.95183142123945	0.191981774802705
GSTP1_HUMAN	-0.274326990586236	0.7912540952801
GSTA1_HUMAN	NA	NA
MMP2_HUMAN	0.262308693138931	0.800863155569153
PGRC2_HUMAN	2.3833804674817	0.203562078717644
TENA_HUMAN	-1.31342566701415	0.223502406021149
A2ML1_HUMAN	NA	NA
HV207_HUMAN	2.18113233723074	0.074693498256842
FABP4_HUMAN	1.89182522803123	0.0928751950338555
PAL4B_HUMAN	3.48433865500437	0.0526998644547593
K2C75_HUMAN	-0.188741602176898	0.855820166961276
FBLN3_HUMAN	-0.636181123147145	0.541325988859176
PEDF_HUMAN	1.4943979428845	0.16615406326148
DEF1_HUMAN	-0.333037881137187	0.750105617956061
CH10_HUMAN	0.5994523577014	0.610927319651028
KV110_HUMAN	0.973004846504647	0.353528582256475
K1C13_HUMAN	1.41833268931448	0.207688563259913
ANXA2_HUMAN	2.15404423747753	0.0631990657305997
GRP78_HUMAN	0.755284573922606	0.47707620439403
TRFE_HUMAN	1.76036372860325	0.115908592672971
KPYM_HUMAN	1.42252440915916	0.189693330632576
S10A6_HUMAN	0.513686261532307	0.621858263243044
SAA4_HUMAN	1.90575152680935	0.0945396877390498
EF1A1_HUMAN	0.782221851877368	0.460714629971665
CD7_HUMAN	1.05423989416386	0.372133890615091
K2C5_HUMAN	1.46688591647603	0.198722323713411
DESM_HUMAN	1.10865546541039	0.307102708743439
CERU_HUMAN	2.04884674882417	0.0710057376069909
HV320_HUMAN	2.31040801040578	0.0479570269171259
AMPE_HUMAN	3.1286020803279	0.0107234253849892
STMN1_HUMAN	0.788894721139982	0.455971983184601
