Protein	Sign.set1	pvalue.set1	qvalue.set1	Sign.set2	pvalue.set2	qvalue.set2	Sign.meta	pvalue.meta	qvalue.meta
1433B_HUMAN	-1	0.304881662666879	0.284278393143365	1	0.579766482259301	0.360217131440682	-1	0.738407374422366	0.413291699290149
1433E_HUMAN	NA	NA	NA	1	0.735556369171795	0.407336450438042	1	0.735556369171795	0.413291699290149
1433F_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
1433G_HUMAN	1	0.262380328563627	0.265898763503857	NA	NA	NA	1	0.262380328563627	0.238703355835328
1433Z_HUMAN	-1	0.908255314435732	0.522220033126804	1	0.876011962562913	0.437658246618074	1	0.97699145036223	0.476735335337416
4F2_HUMAN	NA	NA	NA	-1	0.556036430204172	0.353304259036241	-1	0.556036430204172	0.349874046619947
6PGL_HUMAN	-1	0.202821914210411	0.240474119182151	-1	0.070403808335155	0.150581578488072	-1	0.0292642132302072	0.0751570683357937
8ODP_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1AG1_HUMAN	1	0.00134898522005233	0.0646896326309928	1	0.107607047066971	0.183391843548815	1	0.00066336452664704	0.0138761062853459
A1AG2_HUMAN	1	0.182770338560735	0.230661530250069	1	0.656310339972257	0.387750493601774	1	0.208850935348798	0.211514341564624
A1AT_HUMAN;A1ATR_HUMAN	1	0.26130361728127	0.265898763503857	NA	NA	NA	1	0.26130361728127	0.238698221145471
A1BG_HUMAN;CON__Q2KJF1	1	0.00550918412997303	0.0793205538348393	NA	NA	NA	1	0.00550918412997303	0.0334141319263728
A2AP_HUMAN;CON__P28800	-1	0.819091060097028	0.498476498524005	NA	NA	NA	-1	0.819091060097028	0.434979978910868
A2GL_HUMAN	1	0.0783228607973803	0.157932822445893	1	0.105415411656137	0.183391843548815	1	0.0168587928724624	0.0615585533068117
A2LD1_HUMAN	1	0.539923197246825	0.398388529172435	-1	0.206759903214497	0.2279569516933	-1	0.645994546924923	0.385477933512987
A2MG_HUMAN;PZP_HUMAN	1	0.305803887605	0.28445286743939	NA	NA	NA	1	0.305803887605	0.253990933918805
