Rank	Protein	Sign	Pvalue	Qvalue
1	1	GPVI_HUMAN	-	7.07718818922684e-07	0.00037987438392882
2	2	PGRP1_HUMAN	-	1.65739032451339e-06	0.000444809514471096
3	3	EGF_HUMAN	-	3.53145983369193e-05	0.00473885635376771
4	4	GALNS_HUMAN	-	2.87737412065081e-05	0.00473885635376771
5	5	IGSF8_HUMAN	-	5.56182178605955e-05	0.00597071483196514
6	6	NEGR1_HUMAN	-	0.000104899609558896	0.00938430006618976
7	7	CLM9_HUMAN	-	0.00023219922648166	0.0103862503664403
8	8	ICOSL_HUMAN	-	0.000187273035646221	0.0103862503664403
9	9	PVRL4_HUMAN	-	0.000222174016062504	0.0103862503664403
10	10	SCTM1_HUMAN	-	0.000150098582578271	0.0103862503664403
11	11	SUSD2_HUMAN	-	0.000200262622699392	0.0103862503664403
12	12	K2C7_HUMAN	+	0.000197210383765523	0.0103862503664403
13	13	SPIT1_HUMAN	-	0.000333473363092399	0.011932986658386
14	14	TRFM_HUMAN	-	0.000312687984579022	0.011932986658386
15	15	ACTB_HUMAN	+	0.000324618910493513	0.011932986658386
